K1,K2,K3,D1,D2,D3,,,,Additional,City,State,,Start Time,Time Zone,,,,Facebook Page,Date
sb,ykh,EG,,,,Confirm,Harrison Town Hall,"Join Mahony for Congress for a Town Hall! Voters can come out, ask questions, and get to know Josh in advance of the November 6th election!",,,,"Durand Center - Harrison, AR",18:00:00,5,2018-09-06T18:00:00-0500,https://www.facebook.com/events/1881177708606086/,Harrison Town Hall,https://www.facebook.com/mahonyarkansas/,9/6/2018
sb,ykh,EG,,,,Confirm,Fort Smith Town Hall,"Join Mahony for Congress for a Town Hall! Voters can come out, ask questions, and get to know Josh in advance of the November 6th election!",,,,"Fort Smith Public Library - Fort Smith, AR",18:00:00,5,2018-09-11T18:00:00-0500,https://www.facebook.com/events/232095674083798/,Fort Smith Town Hall,https://www.facebook.com/mahonyarkansas/,9/11/2018
sb,ykh,sa,,,,Confirm,El Dorado House Party with Jessica Morse,Join us in El Dorado for a House Party with Jessica Morse! RSVP to samantha@morse4congress.com for more information.,,,,RSVP for Address -,9:30:00,7,2018-08-11T09:30:00-0700,https://www.facebook.com/events/1733330800086229/,El Dorado House Party with Jessica Morse,https://www.facebook.com/Morse4America/,8/11/2018
ykh,EG,x,,,,Confirm,Lake of the Woods Unity Reception for Abigail Spanberger,"Please join the Tri-County Democrats (Spotsylvania, Culpeper, and Orange County), Lake of the Woods Democratic Club, and master of ceremonies Dan Ward, former VA07 Democratic candidate, for a unity reception in support of Abigail Spanberger, the Democratic nominee for Congress in Virginia’s 7th District.
 
 **********************************
 DETAILS, RSVP, and LOCATION
 
 Join our Unity Team!
 • $20 Unity Supporter
 • $50 Unity Enthusiast
 • $100 Unity Fanatic
 
 Please RSVP to confirm your attendance:
 http://bit.ly/Aug11RSVP
 
 Lake of the Woods Community Center
 110 Sweetbriar Park Rd.
 Locust Grove, VA 22508
 
 **********************************
 Abigail began her career of public service as a federal law enforcement officer working narcotics and money laundering cases with the US Postal Inspection Service. Following her love of country, public service, and languages, Abigail joined the CIA as an Operations Officer. She traveled and lived abroad collecting intelligence, managing assets, and overseeing high-profile programs in service to the United States. In 2014, Abigail left government service to begin a career in the private sector and bring her and her family back home to Virginia. Working at EAB – Royall & Company, Abigail has worked with colleges and universities to create diverse student bodies, increase graduation rates, and break down financial barriers to higher education.
 
 Abigail grew up in Short Pump, in Henrico County. She attended J.R. Tucker High School’s Spanish immersion program, served as a Senate Page for US Senator Chuck Robb (D-VA), and graduated from the University of Virginia. After college, Abigail moved to Germany and earned her MBA from a dual-degree German-American program between the GISMA business school and Purdue University.
 
 Abigail and her husband, Adam, live with their children in Glen Allen.
 
 Learn more about Abigail at www.abigailspanberger.com",,,,"Lake of the Woods Community Center 110 Sweetbriar Park Rd.| Locust Grove, VA 22508 -",14:00:00,4,2018-08-11T14:00:00-0400,https://www.facebook.com/events/984100308438725/,Lake of the Woods Unity Reception for Abigail Spanberger,https://www.facebook.com/SpanbergerForCongress/,8/11/2018
sb,ykh,EG,,,,Confirm,Quincy: Meet Audrey Denney - Congressional Candidate,"Meet California District 1 congressional candidate, Audrey Denney, who is running to unseat Doug LaMalfa in the upcoming election! Stop by, say hello, and share the issues most important to you. Audrey will be at the Quincy Library located at 445 Jackson Street in Quincy, CA on Saturday, August 11th, from 5:00-6:00 PM. Hope to see you there!
 
 -------------------------------------------------------
 www.AudreyforCongress.com #AudreyforCongress
 Audrey Denney is running for congress in California’s 1st Congressional District, which includes Butte, Lassen, Modoc, Plumas, Shasta, Sierra, Siskiyou, Tehama, Nevada, Glenn, and Placer counties. Vote on November 6th!",,,,"Quincy Library - Quincy, CA",17:00:00,7,2018-08-11T17:00:00-0700,https://www.facebook.com/events/1777174422375338/,Quincy: Meet Audrey Denney - Congressional Candidate,https://www.facebook.com/audreyforcongress/,8/11/2018
sb,ykh,EG,,,,Confirm,Quincy: Meet Audrey Denney - Plumas-Sierra County Fair,"Meet California District 1 congressional candidate, Audrey Denney, who is running to unseat Doug LaMalfa in the upcoming election! Stop by, say hello, and share the issues most important to you. Audrey will be at the Plumas-Sierra County Fair located at 204 Fairground Rd in Quincy, CA on Saturday, August 11th, from 6:15-8:00 PM. Look for the Plumas County Democrats booth! 
 -------------------------------------------------------
 www.AudreyforCongress.com #AudreyforCongress
 Audrey Denney is running for congress in California’s 1st Congressional District, which includes Butte, Lassen, Modoc, Plumas, Shasta, Sierra, Siskiyou, Tehama, Nevada, Glenn, and Placer counties. Vote on November 6th!
 
 For more info about the fair: www.plumas-sierracountyfair.net",,,,"Plumas Sierra County Fairgrounds - Quincy, CA",18:15:00,7,2018-08-11T18:15:00-0700,https://www.facebook.com/events/263224584459509/,Quincy: Meet Audrey Denney - Plumas-Sierra County Fair,https://www.facebook.com/audreyforcongress/,8/11/2018
sb,ykh,EG,,,,Confirm,Sunset Hike with Martin,"Come hang out with Martin and join him for a sunset hike through the Sandias!
 
 Please RSVP at https://goo.gl/jeaDRp for trailhead location or text SUNSET to 97779.
 
 *By texting you agree to receive periodic messages from Martin Heinrich for Senate. Msg & Data rates may apply. Txt HELP for help and STOP to end. Privacy Policy MartinHeinrich.com/privacy-policy.",,,,-,18:00:00,6,2018-08-11T18:00:00-0600,https://www.facebook.com/events/2021636711498457/,Sunset Hike with Martin,https://www.facebook.com/TeamHeinrich/,8/11/2018
sb,ykh,EG,,,,Confirm,Worcester County Democrats' Candidate Forum,"Showing up counts, but listening counts even more. Come out to see Jesse and tell him which issues are important to you.
 
 This forum is a meeting organized by the Worcester County Democratic Party. 
 
 Supported by:
 The Democratic Women’s Club (DWC)
 The Democratic Club of Worcester County (DCWC)
 Democratic Club of Ocean City and Berlin (DCOCB)",,,,"Snow Hill Volunteer Fire Company Inc - Snow Hill, MD",11:00:00,4,2018-08-11T11:00:00-0400,https://www.facebook.com/events/1958305487565594/,Worcester County Democrats' Candidate Forum,https://www.facebook.com/Colvin4Congress/,8/11/2018
sb,EG,x,,,,Confirm,Meet with Mary - Green Valley,"Join us in Green Valley for your chance to meet and support Mary Matiella
 
 Hosted by Bonnie Sondrol
 Sunday, August 12th - 2:00 – 4:00pm
 
 1184 W Camino Urbano
 Green Valley, Az 85622
 
 
 Have you had a chance to Meet Mary? 
 
 Are you looking for a way to support the campaign before the Primary?
 
 Join us for this upcoming event to see why Mary Matiella is the Progressive choice for Congressional District 2 and why you should lend your support.",,,,"1184 W Camino Urbano, Green Valley, AZ 85622-4804, United States -",14:00:00,7,2018-08-12T14:00:00-0700,https://www.facebook.com/events/324007128341457/,Meet with Mary - Green Valley,https://www.facebook.com/MatiellaForCongress/,8/12/2018
sb,EG,sa,,,,Confirm,Panel Discussion on Local Infrastructure w/ Rep. Cheri Bustos,"Congresswoman Cheri Bustos of Illinois and Theresa Gasper will headline a panel discussion on the need for critical infrastructure investments to preserve our nation's natural resources, provide much-needed repairs to local roads and bridges, as well as create jobs. 
 *Other presenters to be added*",,,,"Center for Regional Cooperation - Dayton, OH",13:00:00,4,2018-08-12T13:00:00-0400,https://www.facebook.com/events/510164346103842/,Panel Discussion on Local Infrastructure w/ Rep. Cheri Bustos,https://www.facebook.com/gasperforcongress/,8/12/2018
sb,ykh,sa,,,,Confirm,Travis County Meet & Greet with Joseph Kopser!,"Please join Joseph Kopser and our team for a meet & greet in Travis County. As we head into the general election, learn where Joseph stands on the issues that matter to you, from jobs and health care to education and our kids' future.",,,,"2608 Del Curto Rd, Austin, TX 78704-6010, United States -",14:00:00,5,2018-08-12T14:00:00-0500,https://www.facebook.com/events/262668707800963/,Travis County Meet & Greet with Joseph Kopser!,https://www.facebook.com/KopserforCongress/,8/12/2018
sb,ykh,sa,,,,Confirm,BIC Democrat and Progressives monthly meeting with Mandy!,"Join Democratic nominee for Lt. Governor Mandy Powers Norrell and the Ballentine, Irmo, Chapin Democrat and Progressives at their monthly meeting.",,,,"Tonella's Pizza Kitchen - Ballentine, SC",18:30:00,4,2018-08-13T18:30:00-0400,https://www.facebook.com/events/701072660246935/,BIC Democrat and Progressives monthly meeting with Mandy!,https://www.facebook.com/JamesSmithForSC/,8/13/2018
sb,ykh,sa,,,,Confirm,Dartmouth Gubernatorial Forum,Join Steve at a debate in Alumni Hall at Dartmouth College.,,,,Dartmouth College Hanover NH -,17:00:00,4,2018-08-13T17:00:00-0400,https://www.facebook.com/events/495115564273963/,Dartmouth Gubernatorial Forum,https://www.facebook.com/marchandforNH/,8/13/2018
sb,ykh,EG,,,,Confirm,Town Hall Meeting,"The next in our series of Town Hall Meetings has been rescheduled for 7-8 PM, Tuesday, August 7th, at the Horsham VFW. We'd love to see you there if you can make it, so please RSVP via the ""Get Tickets"" button.",,,,"VFW Post 9788 - Horsham, PA",19:00:00,4,2018-08-07T19:00:00-0400,https://www.facebook.com/events/235726783725398/,Town Hall Meeting,https://www.facebook.com/DanDavidForCongress/,8/7/2018
sb,ykh,sa,,,,Confirm,An Evening in Support of Mary Matiella,"Join us for an Evening in Support of Mary Matiella
 Friday, August 10th - 6:30 – 8:00pm
 
 1616 N Winstel Blvd
 Tucson, Az 85716
 
 Have you had a chance to Meet Mary? 
 
 Are you looking for a way to support the campaign before the Primary?
 
 Join us for this upcoming event to see why Mary Matiella is the Progressive choice for Congressional District 2 and why you should lend your support.",,,,"1616 N Winstel Blvd, Tucson, AZ 85716-3319, United States -",18:30:00,7,2018-08-10T18:30:00-0700,https://www.facebook.com/events/263016451176285/,An Evening in Support of Mary Matiella,https://www.facebook.com/MatiellaForCongress/,8/10/2018
sb,ykh,sa,,,,Confirm,Breakfast with David Stemerman,"Please join us for a breakfast with David Stemerman, Republican candidate for Governor. Hosted by, John Morris, Mike Barnes and Russ Hurley.",,,,"53 N Main St, Kent, CT 06757-1515, United States -",7:30:00,4,2018-08-10T07:30:00-0400,https://www.facebook.com/events/1713433555439304/,Breakfast with David Stemerman,https://www.facebook.com/StemermanforCT/,8/10/2018
ykh,sa,EG,sb,,,Confirm,Pancake Breakfast With Susan Moran Palmer,"Join us for breakfast before we lace up our shoes and hit the pavement to knock doors. Meet Susan Moran Palmer, candidate for Congress District 16 and Lorraine Wilburn, candidate for Ohio House District 48. After breakfast help us bring our positive message of change to our neighbors.
 
 This is a FREE event, though donations are welcome.",,,,Veteran's Park -,8:30:00,4,2018-08-11T08:30:00-0400,https://www.facebook.com/events/209926886336983/,Pancake Breakfast With Susan Moran Palmer,https://www.facebook.com/SusanPalmerOH/,8/11/2018
sb,ykh,sa,EG,,,Confirm,Sunday Door-knocking w/ Rep. Cheri Bustos,"We're so excited to announce that Congresswoman Cheri Bustos of Illinois will be launching this very special door-knocking shift. 
 Come hear her speak, be inspired and help us flip OH-10!",,,,"2090 S Patterson Blvd, Dayton, OH 45409-2043, United States -",12:00:00,4,2018-08-12T12:00:00-0400,https://www.facebook.com/events/284991392263828/,Sunday Door-knocking w/ Rep. Cheri Bustos,https://www.facebook.com/gasperforcongress/,8/12/2018
sb,ykh,EG,,,,Confirm,Senior Town Hall,"Senior Town Hall w/ CA-10, Josh Harder, Candidate for Congress
 
 Wednesday, August 22
 10:00 - 11:30 AM
 4842 Nutcracker Lane
 Modesto, CA. 95356
 
 You are cordially invited to join Josh Harder (CA-10) to discuss the needs of Seniors in the Central Valley. Josh wants to hear your ideas, from Social Security to Medicare to any other issue of concern to Seniors. All ages welcomed.
 
 RSVP to Claris@HarderforCongress.com or (209) 214-8089",,,,"Central Valley-Motherlode Pipe Trades Training Center - Modesto, CA",10:00:00,7,2018-08-22T10:00:00-0700,https://www.facebook.com/events/2142058916116045/,Senior Town Hall,https://www.facebook.com/harderforcongress/,8/22/2018
sb,ykh,EG,,,,Confirm,Assyrian Town Hall,"Assyrian Town Hall w/ CA-10, Josh Harder, Candidate for Congress
 
 Tuesday, August 21
 5:30 - 6:30 PM
 Assyrian American Civic Club
 2618 N Golden State Blvd
 Turlock, CA 95382
 
 You are cordially invited to join Josh Harder (CA-10) to discuss the needs of Assyrians in the Central Valley. Josh wants to hear your ideas.
 
 RSVP to Claris@HarderforCongress.com or (209) 214-8089",,,,"Assyrian American Civic Club - Turlock, CA",17:30:00,7,2018-08-21T17:30:00-0700,https://www.facebook.com/events/405457023311441/,Assyrian Town Hall,https://www.facebook.com/harderforcongress/,8/21/2018
sb,ykh,EG,,,,Confirm,Modesto Town Hall,"Modesto Town Hall w/ CA-10 Josh Harder, Candidate for Congress 
 
 Tuesday, August 21
 7:00-8:30 PM
 Season's Event Center
 945 McHenry Ave
 Modesto, CA. 95350
 
 You are cordially invited to join Josh Harder (CA-10) to discuss the needs of Modesto. Josh wants to hear your ideas, everything from business to immigration to health care to water. For more information on Josh's platforms:
 
 https://www.harderforcongress.com/priorities
 
 RSVP to Claris@HarderforCongress.com or (209) 214-8089",,,,"The Season Catering & McHenry Event Center - Modesto, CA",19:00:00,7,2018-08-21T19:00:00-0700,https://www.facebook.com/events/237152253793863/,Modesto Town Hall,https://www.facebook.com/harderforcongress/,8/21/2018
sb,ykh,EG,,,,Confirm,Take Back WV Tour: Town Hall with Talley (Randolph County),"We're coming to your city Elkins! I want to hear from you!
 
 Join us, for a public town hall meeting - it's free and open to everyone! As a candidate for the United States Congress, it is a must that the people of West Virginia's Second District your say!
 
 Come on out - share your hardships and your hopes for our community, our state and our country! #LetsGo!",,,,"Woodford Memorial Methodist Church - Elkins, WV",17:30:00,4,2018-08-09T17:30:00-0400,https://www.facebook.com/events/2361650564062029/,Take Back WV Tour: Town Hall with Talley (Randolph County),https://www.facebook.com/TalleySergent/,8/9/2018
sb,ykh,EG,sa,,,Confirm,Cayuga County Office Opening,"The Balter campaign is excited to announce we're joining fellow Democratic Candidates in opening a new office in Cayuga County. This office will serve as a hub as we campaign to elect Democrats up and down the ballot, including Dana Balter for Congress, David Thurston for City Court, John Mannion, Kenan Baldridge, Joyce St. George for State Senate, and Keith Batman and Scott Comegys for Assembly.
 
 Come by our office opening on Monday, August 13th. Doors open at 5 pm, the campaigns will speak at 5:15. Come by to celebrate, and volunteer!
 
 RSVP Here: https://events.mobilizeamerica.io/balterforcongress/event/8684/",,,,75 Owasco St. Auburn -,17:00:00,4,2018-08-13T17:00:00-0400,https://www.facebook.com/events/1767078633406758/,Cayuga County Office Opening,https://www.facebook.com/DanaBalterForCongress/,8/13/2018
sb,ykh,sa,,,,Confirm,Democratic Gubernatorial Debate,Bob Massie will be debating his opponent on issues affecting Seniors in Swampscott.,,,,"Swampscott Senior Center - Swampscott, MA",19:00:00,4,2018-08-13T19:00:00-0400,https://www.facebook.com/events/2160264667596244/,Democratic Gubernatorial Debate,https://www.facebook.com/bobmass2018/,8/13/2018
ykh,sa,EG,sb,,,Confirm,Lauren at Grant Township Meeting,"Lauren will be with the Grant Township Democrats at the Fox Lake Library to discuss the future of health care and her plan to facilitate change. 
 
 The primary goal of Grant Township Democrats is to educate and inform our residents in order to enact, positive change within our local communities.",,,,"Fox Lake District Library - Fox Lake, IL",19:00:00,5,2018-08-13T19:00:00-0500,https://www.facebook.com/events/1728438253891305/,Lauren at Grant Township Meeting,https://www.facebook.com/UnderwoodforCongress/,8/13/2018
sb,ykh,sa,,,,Confirm,Meet and Greet w/ the Cuyahoga Democratic Women's Caucus,"Join the Cuyahoga Democratic Women's Caucus (CDWC) for an informal meet and greet with Susan. Host committee members include:
 
 - Nickie Antonio, State Rep and candidate for OH Senate
 - Troy Greenfield, Democratic City Leader- Fairview Park 
 - Sandra Davenport
 - Ann Marie Donegan
 - Monique Smith, Democratic Precinct Person- Fairview Park
 - Kim Thomas, CCDP Vice Chair, CDWC Treasurer
 - Amanda Karpus, Parma School Board Member
 - Cindy Dempsey, Chair, CWDC
 - Peggy Cleary, Retired Councilperson- Fairview Park
 - Jeanne Gallagher, Democratic Precinct Person- Rocky River
 
 Please RSVP to cuyahogadwc.org.",,,,"Burntwood Tavern - Rocky River, OH",18:30:00,4,2018-08-13T18:30:00-0400,https://www.facebook.com/events/461899350952755/,Meet and Greet w/ the Cuyahoga Democratic Women's Caucus,https://www.facebook.com/SusanPalmerOH/,8/13/2018
sb,ykh,sa,,,,Confirm,Meet your Dallas County Democratic Candidates in Richardson,"Meet your Dallas County Democratic Candidates running in Richardson.
 
 Colin Allred is running for US Congress. Mark Phariss is running for Texas Senate. Brandy Chambers and Ana-Maria Ramos are running for Texas House. Wini Cannon is running for Dallas County Commissioner Precinct 2. 
 
 Come join us for food and beer, and listen to Democratic candidates talk about today's concerns.
 
 Https://www.facebook.com/events/2092537451007605/#",,,,Cafe Gecko Richardson -,18:30:00,5,2018-08-13T18:30:00-0500,https://www.facebook.com/events/2092537451007605/,Meet your Dallas County Democratic Candidates in Richardson,https://www.facebook.com/ColinAllredTX/,8/13/2018
sb,ykh,EG,,,,Confirm,Tedra Cobb to attend 168th Franklin County Fair,"NY-21 Congressional candidate Tedra Cobb will attend the 168th Franklin County Fair at the Franklin County Fairgrounds in Malone on Thursday, August 9, from 5:30 to 8:30 p.m.
 
 From 5:30-6:30 p.m., Tedra will tour the animal and agricultural exhibits and join the Franklin County Dems at their booth. Tedra and supporters will march in the “Hometown” Parade at 7:00 p.m. (line-up begins at 6:30 p.m.). All are welcome. Stop by to say hello, march in the parade, and support the candidate!
 
 For more information, visit https://www.frcofair.com/full-schedule/. If you need transportation assistance in order to attend this event, please email events@tedracobb.com.",,,,"Franklin County Fair, Malone NY - Malone, NY",17:30:00,4,2018-08-09T17:30:00-0400,https://www.facebook.com/events/526788107751491/,Tedra Cobb to attend 168th Franklin County Fair,https://www.facebook.com/tedracobbforcongress/,8/9/2018
EG,x,x,sb,sa,,Confirm,House party hosted by Chris and Becky Dunlap,"Thanks for your hospitality and support.
 
 August 10
 House party hosted by Chris and Becky Dunlap
 7-8:30 pm
 40 Hillymede Drive
 Hummelstown, PA 17036",,,,"40 Hillymede Dr, Hummelstown, PA 17036-9515, United States -",19:00:00,4,2018-08-10T19:00:00-0400,https://www.facebook.com/events/171273910389307/,House party hosted by Chris and Becky Dunlap,https://www.facebook.com/GeorgeScott4Congress/,8/10/2018
ykh,SA,EG,sb,,,Confirm,Oceanside House Party,"We hope you'll be able to join us for our next house party in Oceanside. Bring a friend and come get to know Mike!
 
 If you'd like to attend, please sign up here: https://events.mobilizeamerica.io/levinforcongress/event/7847/",,,,"Oceanside, CA - Oceanside, CA",18:00:00,7,2018-08-13T18:00:00-0700,https://www.facebook.com/events/296822887546552/,Oceanside House Party,https://www.facebook.com/LevinforCongress/,8/13/2018
sb,ykh,EG,,,,Confirm,Conversation with Mike Levin,"We hope you can join us in Solana Beach for a chat with Mike Levin and Deputy Mayor Jewel Edson. This is a great opportunity to get to know where Mike stands on the issues that matter to you!
 
 If you'd like to attend, please sign up here: https://events.mobilizeamerica.io/levinforcongress/event/8938/",,,,"Solana Beach, CA - Solana Beach, CA",18:30:00,7,2018-08-16T18:30:00-0700,https://www.facebook.com/events/277565659715373/,Conversation with Mike Levin,https://www.facebook.com/LevinforCongress/,8/16/2018
sb,ykh,EG,,,,Confirm,DWC Happy Hour with Mandy!,Join Democratic nominee for Lt. Governor Mandy Powers Norrell and Horry County Democratic women for happy hour!,,,,"Tupelo Honey - Myrtle Beach, SC",17:00:00,4,2018-08-16T17:00:00-0400,https://www.facebook.com/events/1919749924743943/,DWC Happy Hour with Mandy!,https://www.facebook.com/JamesSmithForSC/,8/16/2018
EG,x,x,sb,,,Confirm,Join Dan and Thomas in Houston!,"Join hosts Kevin Kelleher, Teresa O'Donnell-Ebner, Brian Krenz, Laura Minegar, and Charles Calvo
 
 For a reception in the honor of
 
 Dan Feehan, MN-01 DFL-Endorsed Congressional Candidate
 and
 Thomas Trehus, State House 28B DFL-Endorsed Candidate
 
 Thursday, August 16th
 6:00pm - 8:00pm
 at the Kelleher home
 3088 Storer Valley Rd, Houston, MN, 55943
 
 To donate:
 Dan Feehan - https://secure.actblue.com/donate/feehanaug16
 Thomas Trehus - https://secure.actblue.com/donate/committee-to-elect-thomas-trehus-1
 
 To join the host committee or to RSVP please contact Maggiy at maggiy@danfeehan.com.",,,,"3088 Storer Valley Rd, Houston, MN 55943-8266, United States -",18:00:00,5,2018-08-16T18:00:00-0500,https://www.facebook.com/events/317731582102537/,Join Dan and Thomas in Houston!,https://www.facebook.com/danfeehanforcongress/,8/16/2018
sb,ykh,EG,,,,Confirm,Lunch with Chip Roy and DA Nominee Tylden Schaeffer in San Antonio,"We are pleased to invite you to attend lunch with Chip Roy, Bexar County Republican District Attorney Nominee, Tylden Schaeffer, and other influencers from across the city of San Antonio on August 16th from 11:30 AM to 1:00PM at Augie's BBQ on Broadway. Please RSVP using this eventbrite. The event will be composed of a short address from Chip Roy followed by a roundtable to discuss the issues facing the city of San Antonio.
 
 We look forward to seeing you! 
 
 Meals will be available for purchase.",,,,"Augie's Alamo City BBQ Steakhouse - San Antonio, TX",11:30:00,5,2018-08-16T11:30:00-0500,https://www.facebook.com/events/1094332547391389/,Lunch with Chip Roy and DA Nominee Tylden Schaeffer in San Antonio,https://www.facebook.com/ChipRoyforCongress/,8/16/2018
sb,ykh,EG,,,,Confirm,Meet Mary in Tucson!,"Join us in Tucson for your chance to meet and support Mary Matiella
 
 Hosted by Barbara Sattler & Kenney Hegland
 
 Thursday, August 16th - 5:30 – 7:30
 
 1601 E Kleindale Rd
 Tucson, Az 85719
 
 
 Have you had a chance to Meet Mary? 
 
 Are you looking for a way to support the campaign before the Primary?
 
 Join us for this upcoming event to see why Mary Matiella is the Progressive choice for Congressional District 2 and why you should lend your support.",,,,"1601 E Kleindale Rd, Tucson, AZ 85719-1916, United States -",17:30:00,7,2018-08-16T17:30:00-0700,https://www.facebook.com/events/440610679770083/,Meet Mary in Tucson!,https://www.facebook.com/MatiellaForCongress/,8/16/2018
sb,ykh,EG,,,,Confirm,League of Women Voters Candidate Forum,Thank you so much to the League of Women Voters of Tanana Valley for inviting me to this Candidate Forum! I'm so glad that the people of Fairbanks will have the opportunity to hear from the candidates up for election this year. Hope to see you there!,,,,"Fairbanks North Star Borough - Fairbanks, AK",18:00:00,8,2018-08-17T18:00:00-0800,https://www.facebook.com/events/2106002459688349/,League of Women Voters Candidate Forum,https://www.facebook.com/dimitriforcongress/,8/17/2018
sb,ykh,EG,,,,Confirm,Secretary Ernest Moniz and Martin Heinrich in Los Alamos,"Join Martin and special guest, former Secretary of Energy Ernest Moniz for a reception in support of Martin's re-election campaign.
 
 Suggested contribution:
 Host - $250
 Sponsor - $100
 Friend - $50
 
 For more information or to RSVP, please contact Heidi Byrd at (505) 710-1023 or heidi.byrd@martinheinrich.com",,,,"150 Chamisa St, Los Alamos, NM 87544-2412, United States -",17:30:00,6,2018-08-17T17:30:00-0600,https://www.facebook.com/events/242666503029702/,Secretary Ernest Moniz and Martin Heinrich in Los Alamos,https://www.facebook.com/TeamHeinrich/,8/17/2018
sb,ykh,EG,EG,,,Confirm,Support Dave Loebsack in Newton!,"Please join our hosts in supporting Dave Loebsack for Congress: Megan Pryke, Dennis Stevenson, State Senator Chaz Allen, State Rep. Wes Breckenridge, Mayor Mike Hansen, John Billingsley Bill Gannon, Linda Wormley, Councilman Steve Mullan, Bev Clark & Richard Floss, Nancy and Councilman Dennis Parrott
 
 Dave is in his sixth term representing us in Congress. He's fighting for good jobs, quality healthcare, and our rural communities. Join us to hear about what Dave is working on in Congress and how we can get our state and country back on track.
 
 
 Please RSVP to Riley, 319-804-9218 or 
 by email at riley@loebsackforcongress.org",,,,"The Lemon Tree Tea House & Restaurant - Newton, IA",17:30:00,5,2018-08-17T17:30:00-0500,https://www.facebook.com/events/257900095025606/,Support Dave Loebsack in Newton!,https://www.facebook.com/LoebsackforCongress/,8/17/2018
sb,ykh,EG,,,,Confirm,Reception with Martin Heinrich,"You are invited to join Martin Heinrich for an evening reception in support of his re-election campaign. 
 
 Suggested contributions:
 Host - $100
 Sponsor - $50
 Friend - $25
 
 For more information or to RSVP, please contact Robert Lara at (505) 610-1374 or robert.lara@martinheinrich.com.",,,,"Rio Chama - Santa Fe, NM",17:00:00,6,2018-08-18T17:00:00-0600,https://www.facebook.com/events/2095219050793881/,Reception with Martin Heinrich,https://www.facebook.com/TeamHeinrich/,8/18/2018
sb,ykh,EG,,,,Confirm,Shingle Springs House Party with Jessica Morse,Join Jessica Morse for a house party in Shingle Springs! This is an event you won't want to miss. RSVP to samantha@morse4congress.com.,,,,RSVP for Address -,18:00:00,7,2018-08-18T18:00:00-0700,https://www.facebook.com/events/412266975846712/,Shingle Springs House Party with Jessica Morse,https://www.facebook.com/Morse4America/,8/18/2018
EG,x,x,sb,,,Confirm,House party hosted by Franklin & Beth Kury,"Thanks for your generosity and hospitality
 
 August 19, 4-5:30 pm
 House party hosted by Franklin & Beth Kury.
 Hummelstown,
 PA",,,,Private Event -,16:00:00,4,2018-08-19T16:00:00-0400,https://www.facebook.com/events/1886960254681075/,House party hosted by Franklin & Beth Kury,https://www.facebook.com/GeorgeScott4Congress/,8/19/2018
sb,ykh,EG,,,,Confirm,Latinos for Perry,"Come meet Congressional candidate Perry Gershon and NYS Senate candidate Monica Martinez! They will be answering any questions you may have about their respective campaigns.
 
 RSVP here: events.mobilizeamerica.io/gershonforcongress/event/9160/",,,,"1875 Route 112, Medford, NY 11763-3639, United States -",15:00:00,4,2018-08-19T15:00:00-0400,https://www.facebook.com/events/695668964100325/,Latinos for Perry,https://www.facebook.com/perry4congress/,8/19/2018
sb,ykh,EG,,,,Confirm,Meet the Candidates Forum and Voter Registration,"If you are a local or statewide candidate and would like to be on this Meet the Candidates Panel please contact Wilson Williams via inbox or 302.544.1401. We want to hear from ALL candidates! 
 
 Meet the Candidates Forum and Voter Registration 
 Monday 
 August 20, 2018
 6:30 pm
 Canaan Baptist Church
 Hall of Faith 
 3011 New Castle Avenue 
 New Castle DE 19720
 
 Forum Moderated by Rev. Dr. ChrisTPer Alan Bullock",,,,"Canaan Baptist Church Delaware - New Castle, DE",18:30:00,4,2018-08-20T18:30:00-0400,https://www.facebook.com/events/974540146041386/,Meet the Candidates Forum and Voter Registration,https://www.facebook.com/KerriEvelynHarris/,8/20/2018
sb,ykh,EG,,,,Confirm,US Senate Debate,"US Senate Debate
 Tom Carper (D)
 Kerri Evelyn Harris (D)
 Gene Truono (R)
 Rob Arlett (R)",,,,-,18:15:00,4,2018-08-20T18:15:00-0400,https://www.facebook.com/events/294763861092483/,US Senate Debate,https://www.facebook.com/VoteTruono/,8/20/2018
sb,ykh,EG,,,,Confirm,Oceanside House Party,"Would you like to meet Mike? Join us at our next house party! If you can't make it, we're holding other Oceanside events on August 13th and 24th.
 
 If you'd like to attend, please sign up here: https://events.mobilizeamerica.io/levinforcongress/event/8543/",,,,"Oceanside, CA - Oceanside, CA",18:00:00,7,2018-08-21T18:00:00-0700,https://www.facebook.com/events/291288184972831/,Oceanside House Party,https://www.facebook.com/LevinforCongress/,8/21/2018
EG,x,x,sb,,,Confirm,Fundraiser hosted by New Cumberland Democrats,"Join us in New Cumberland for a house party with Matt Roan and Jonny Leahan. House parties are a great way to get one on one time with George and introduce him to your friends and family. We hope to see you there! ""
 
 August 26, 3-5 pm
 Fundraiser hosted by New Cumberland Democrats
 Home of Matt Roan and Jonny Leahan
 232 Poplar Ave, New Cumberland PA 17070",,,,"Home of Matt Roan and Jonny Leahan 232 Poplar Ave, New Cumberland PA 17070 -",15:00:00,4,2018-08-26T15:00:00-0400,https://www.facebook.com/events/2137923003155534/,Fundraiser hosted by New Cumberland Democrats,https://www.facebook.com/GeorgeScott4Congress/,8/26/2018
